id,species,genotype,treatment,tag,sampleid,fate,date,time,raw,trim,align,lesion,days,status,its2,its2maj,A3-A3ac-A3ah-A3m___A3,A3___A3,A13___A13,B1___B1,C42.2-C1-C1b-C3-C42ds___C42.2,C1-C42.2-C1d-C3cg-C1b-C1mt-C3cw-C45c___C1,C42.2_C1-C1b___C42.2_C1,D1-D4-D4c-D1c-D2___D1,D1-D1as-D1ba-D1bb-D4-D1at-D6___D1,D1-D1as-D1ba-D1bb-D4-D1at-D1bg___D1,D1-D4-D4c-D1c___D1,D1-D4-D4c___D1,D1-D1as___D1,G3l___G3l
Ac_052,Acer,MBD,DC,79,Ac_MBD_DC_79,Diseased,5/6/24,15:27,12217571,6629570,5919509,9,9,1,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_060,Acer,Cooper,DW1,45,Ac_Cooper_DW1_45,Diseased,5/12/24,16:18,11795145,6101516,5342035,13,13,1,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_062,Acer,SIE,DC,95,Ac_SIE_DC_95,Diseased,5/14/24,14:58,12264388,5984513,4331307,18,18,1,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_092,Acer,Cooper,DC,46,Ac_Cooper_DC_46,Diseased,5/16/24,16:38,11352365,6155936,5381512,20,20,1,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_100,Acer,CheetosB,DC,63,Ac_CheetosB_DC_63,Diseased,5/19/24,15:43,15010480,6863257,5945528,19,19,1,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_102,Acer,MBD,DW1,78,Ac_MBD_DW1_78,Diseased,5/19/24,15:52,11983165,4437617,3966483,17,17,1,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_108,Acer,MBD,HW,80,Ac_MBD_HW_80,Healthy,5/20/24,16:23,13599717,5531639,4458031,,25,0,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_120,Acer,SIE,HW,96,Ac_SIE_HW_96,Healthy,5/27/24,16:48,14443690,6026594,5236083,,32,0,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_122,Acer,SIE,DW2,94,Ac_SIE_DW2_94,Diseased,5/27/24,16:53,14794969,6302548,5474950,25,25,1,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_146,Acer,CheetosB,HW,64,Ac_CheetosB_HW_64,Healthy,6/5/24,12:50,20010956,8619074,7402537,,41,0,A3-A3ac-A3ah-A3m,A3,0.99596508,0,0,0,0,0,0,0,0,0,0,0.00403492,0,0
Ac_166,Acer,BC8A,DW1,16,Ac_BC8A_DW1_16,NAI,6/5/24,13:22,15736407,3836123,3359979,,41,0,A3-A3ac-A3ah-A3m,A3,0.99581128,0,0,0,0,0,0,0.00418872,0,0,0,0,0,0
Ac_188,Acer,MBC,DW2,32,Ac_MBC_DW2_32,NAI,6/5/24,13:47,18197293,6583448,5729200,,41,0,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_198,Acer,CheetosB,DW2,62,Ac_CheetosB_DW2_62,NAI,6/5/24,13:58,13316651,5957486,5199726,,41,0,A3-A3ac-A3ah-A3m,A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Of_098,Ofav,green,DC,309,Of_green_DC_309,Diseased,5/19/24,15:34,15456628,1944317,1163809,22,22,1,D1-D4-D4c-D1c-D2,D1,0,0.09866035,0.00949227,0,0,0,0,0.89184738,0,0,0,0,0,0
Of_104,Ofav,green,DC,306,Of_green_DC_306,Diseased,5/19/24,16:01,17614205,934741,530793,21,21,1,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_112,Ofav,green,HW,284,Of_green_HW_284,Healthy,5/27/24,16:25,10435607,709390,412018,,32,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_114,Ofav,green,DW1,311,Of_green_DW1_311,Diseased,5/27/24,16:30,5166051,271182,164786,32,32,1,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Of_126,Ofav,green,HW,534,Of_green_HW_534,Healthy,5/30/24,15:39,15540896,2437942,1572306,,35,0,D1-D4-D4c-D1c-D2,D1,0,0,0,0,0,0,0.10338802,0.89661198,0,0,0,0,0,0
Of_130,Ofav,green,DC,320,Of_green_DC_320,Diseased,5/30/24,16:10,22432235,1744762,988361,35,35,1,D1-D4-D4c-D1c-D2,D1,0,0.03908807,0,0,0,0,0,0.96091193,0,0,0,0,0,0
