Ofaveolata016377	Adapter protein involved in the Toll-like receptor and Il-1 receptor signaling pathway in the innate immune response
Ofaveolata016720	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein
Ofaveolata026179	lipid metabolic process
Ofaveolata000845	ribose-5-phosphate isomerase activity
Ofaveolata018453	thiamine transport
Ofaveolata029800	metallocarboxypeptidase activity
Ofaveolata013973	regulation of oxidoreductase activity
Ofaveolata008874	RAD52 motif-containing protein
Ofaveolata029033	HIstidiNe Triad nucleotide-binding protein
Ofaveolata035420	K02A2.6-like
Ofaveolata025879	calcium ion binding
Ofaveolata024293	uridine kinase activity
Ofaveolata035974	regulation of mitotic cell cycle
Ofaveolata031938	calcium ion transport
Ofaveolata018820	PCI domain-containing protein 2
Ofaveolata015550	Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events
Ofaveolata029325	sulfuric ester hydrolase activity
Ofaveolata030072	store-operated calcium channel activity
Ofaveolata013046	regulation of T cell homeostatic proliferation
Ofaveolata030346	positive regulation of actin binding
Ofaveolata002513	Family with sequence similarity 189 member A1
Ofaveolata014657	Retinoschisin
Ofaveolata024689	tubulin binding
Ofaveolata035491	CHAT domain
Ofaveolata026898	catalytic activity. It is involved in the biological process described with metabolic process
Ofaveolata028063	Belongs to the histone deacetylase family. HD Type 1 subfamily
Ofaveolata027956	hedgehog receptor activity
Ofaveolata027794	heterogeneous nuclear ribonucleoprotein
Ofaveolata022743	peptidase inhibitor activity
Ofaveolata002534	Belongs to the peptidase S1 family
Ofaveolata024385	cobalamin binding
Ofaveolata018495	nuclear import signal receptor activity
Ofaveolata028148	NIM1 serine threonine protein kinase
Ofaveolata014484	tRNA-type intron splice site recognition and cleavage
Ofaveolata024738	tRNA dihydrouridine synthase activity
Ofaveolata022184	flagellated sperm motility
Ofaveolata031614	neurotransmitter:sodium symporter activity
Ofaveolata007776	structural constituent of cuticle
Ofaveolata008274	Carboxylesterase family
Ofaveolata033129	7S RNA binding
Ofaveolata017063	-
Ofaveolata013523	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ofaveolata009324	ribosome biogenesis
Ofaveolata013121	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ofaveolata028025	voltage-gated potassium channel activity
Ofaveolata009835	Glutathione S-transferase, C-terminal domain
Ofaveolata029968	outer dynein arm assembly
Ofaveolata014143	3'-5'-exoribonuclease that specifically recognizes RNAs polyuridylated at their 3' end and mediates their degradation. Component of an exosome-independent RNA degradation pathway that mediates degradation of both mRNAs and miRNAs that have been polyuridylated by a terminal uridylyltransferase, such as ZCCHC11 TUT4. Mediates degradation of cytoplasmic mRNAs that have been deadenylated and subsequently uridylated at their 3'. Mediates degradation of uridylated pre-let-7 miRNAs, contributing to the maintenance of embryonic stem (ES) cells. Essential for correct mitosis, and negatively regulates cell proliferation
Ofaveolata024037	Vacuolar Protein
Ofaveolata013995	actin filament bundle assembly
Ofaveolata002856	AAA domain
Ofaveolata033172	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
Ofaveolata026273	protein F13E9.13, mitochondrial-like
Ofaveolata031765	RAB7A, member RAS oncogene family
Ofaveolata028019	voltage-gated potassium channel activity
Ofaveolata034366	quinone biosynthetic process
Ofaveolata029300	mannosylation
Ofaveolata025754	negative regulation of sequestering of triglyceride
Ofaveolata030031	tachykinin receptor activity
Ofaveolata034953	BTB POZ domain-containing protein
Ofaveolata035332	-
Ofaveolata004836	acetyl-CoA transmembrane transporter activity
Ofaveolata021904	protein kinase A binding
Ofaveolata018735	Sortilin-related receptor, L(DLR class) A repeats containing
Ofaveolata005078	Syntaxin-binding protein 5
Ofaveolata028930	Receptor expression-enhancing protein
Ofaveolata012629	Chromosome 8 open reading frame 74
Ofaveolata002716	Methyltransferase domain
Ofaveolata019682	Golgi to endosome transport
Ofaveolata017049	nucleologenesis
Ofaveolata021929	calcium ion binding
Ofaveolata019225	Transmembrane protein 145
Ofaveolata003441	mannose-6-phosphate receptor
Ofaveolata022203	calcium activated phosphatidylcholine scrambling
Ofaveolata021275	neuropeptide Y receptor
Ofaveolata027510	protein dimerization activity
Ofaveolata022968	neurofibromin
Ofaveolata019397	calcium-dependent cysteine-type endopeptidase activity
Ofaveolata010239	negative regulation of bile acid biosynthetic process
Ofaveolata007437	acetyl-CoA metabolic process
Ofaveolata014030	RNA binding
Ofaveolata021145	G-protein coupled receptor activity
Ofaveolata035122	7 transmembrane receptor (rhodopsin family)
Ofaveolata027911	BTB/POZ domain
Ofaveolata012849	acetate-CoA ligase activity
Ofaveolata035532	fibroblast growth factor-activated receptor activity
Ofaveolata002555	Belongs to the carnitine choline acetyltransferase family
Ofaveolata025386	negative regulation of mucus secretion
Ofaveolata022086	nuclear factor of activated T-cells 5
Ofaveolata006266	ATPase activator activity
Ofaveolata001864	G-protein coupled receptor activity
Ofaveolata004326	complement component C4b binding
Ofaveolata003283	WD40 repeats
Ofaveolata025309	Belongs to the short-chain dehydrogenases reductases (SDR) family
Ofaveolata024301	metalloaminopeptidase activity
Ofaveolata004367	Unconventional myosin-IXa-like
Ofaveolata031668	ubiquitin conjugating enzyme binding
Ofaveolata035927	transmembrane transporter activity
Ofaveolata029297	protein auto-ADP-ribosylation
Ofaveolata001626	H4K20me3 modified histone binding
Ofaveolata029935	poly(U) RNA binding
Ofaveolata024227	calcium ion binding
Ofaveolata008625	dyslexia-associated protein
Ofaveolata019027	ATP-dependent microtubule motor activity, minus-end-directed
Ofaveolata000889	NFX1-type zinc finger-containing protein
Ofaveolata012686	Autophagy-related protein 13
Ofaveolata011359	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ofaveolata010078	Sulfotransferase family
Ofaveolata004438	Wiskott-Aldrich syndrome protein family member
Ofaveolata029750	anterograde synaptic vesicle transport
Ofaveolata000721	alpha1-adrenergic receptor activity
Ofaveolata010179	E3 ubiquitin-protein ligase RNF181
Ofaveolata003856	G-protein coupled receptor activity
Ofaveolata034108	phosphatidylethanolamine catabolic process
Ofaveolata004443	pyridoxal 5'-phosphate salvage
Ofaveolata024959	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
Ofaveolata034146	NFX1-type zinc finger-containing protein
Ofaveolata008415	ubiquitin-protein transferase activity
Ofaveolata024248	asparagine catabolic process via L-aspartate
Ofaveolata002235	Meiosis 1
Ofaveolata033015	transmembrane receptor protein tyrosine kinase activity
Ofaveolata005576	Subtilase family
Ofaveolata001015	L-seryl-tRNA(Sec) kinase
Ofaveolata018291	Radial spoke head 1
Ofaveolata004018	ATPase activity, coupled to transmembrane movement of substances
Ofaveolata034109	Domain of unknown function (DUF4800)
Ofaveolata016109	Belongs to the cullin family
Ofaveolata035117	regulation of mitotic cell cycle
Ofaveolata033978	Belongs to the G-protein coupled receptor 1 family
Ofaveolata000850	benzodiazepine receptor binding
Ofaveolata007871	catalytic activity. It is involved in the biological process described with metabolic process
Ofaveolata001985	cortactin
Ofaveolata014115	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome
Ofaveolata030113	Lamina-associated polypeptide 1C (LAP1C)
Ofaveolata014635	intraciliary transport
Ofaveolata009788	Broad-Complex, Tramtrack and Bric a brac
Ofaveolata022367	Golgi to plasma membrane transport
Ofaveolata026466	phosphatidic acid transporter activity
Ofaveolata004464	trans-hexaprenyltranstransferase activity
Ofaveolata030000	DnaJ molecular chaperone homology domain
Ofaveolata001558	7 transmembrane receptor (rhodopsin family)
